,host_location,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,en_bookable__f,en_bookable__t,en_id_ver__f,en_id_ver__t,en_room_type__Entire home/apt,en_room_type__Hotel room,en_room_type__Private room,en_available__f,en_available__t,en_profilepic__f,en_profilepic__t,en_prop_type__Boat,en_prop_type__Camper/RV,en_prop_type__Casa particular,en_prop_type__Dome,en_prop_type__Entire bungalow,en_prop_type__Entire cabin,en_prop_type__Entire chalet,en_prop_type__Entire condo,en_prop_type__Entire cottage,en_prop_type__Entire guest suite,en_prop_type__Entire guesthouse,en_prop_type__Entire home,en_prop_type__Entire loft,en_prop_type__Entire place,en_prop_type__Entire rental unit,en_prop_type__Entire serviced apartment,en_prop_type__Entire townhouse,en_prop_type__Entire vacation home,en_prop_type__Entire villa,en_prop_type__Farm stay,en_prop_type__Houseboat,en_prop_type__Island,en_prop_type__Private room,en_prop_type__Private room in barn,en_prop_type__Private room in bed and breakfast,en_prop_type__Private room in boat,en_prop_type__Private room in bungalow,en_prop_type__Private room in casa particular,en_prop_type__Private room in chalet,en_prop_type__Private room in condo,en_prop_type__Private room in cottage,en_prop_type__Private room in earthen home,en_prop_type__Private room in farm stay,en_prop_type__Private room in guest suite,en_prop_type__Private room in guesthouse,en_prop_type__Private room in home,en_prop_type__Private room in loft,en_prop_type__Private room in minsu,en_prop_type__Private room in rental unit,en_prop_type__Private room in resort,en_prop_type__Private room in serviced apartment,en_prop_type__Private room in tiny home,en_prop_type__Private room in townhouse,en_prop_type__Private room in vacation home,en_prop_type__Private room in villa,en_prop_type__Religious building,en_prop_type__Room in aparthotel,en_prop_type__Room in bed and breakfast,en_prop_type__Room in boutique hotel,en_prop_type__Room in hotel,en_prop_type__Room in serviced apartment,en_prop_type__Shipping container,en_prop_type__Tiny home,en_res_time__a few days or more,en_res_time__within a day,en_res_time__within a few hours,en_res_time__within an hour,en_issuperhost__f,en_issuperhost__t
124238,"Bristol, United Kingdom",100,100,1.0,1.0,4,2.0,2.0,70,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,2,2,2,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.69,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124253,"Bristol, United Kingdom",100,100,1.0,1.0,1,1.0,1.0,55,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,16,15,0,5.0,4.94,4.69,4.94,5.0,4.88,4.81,1,0,1,0,1.3,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124264,"Bristol, United Kingdom",100,100,1.0,1.0,1,1.0,1.0,33,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,8,34,42,303,28,28,1,4.93,4.96,4.96,4.96,4.96,4.89,4.93,1,0,1,0,2.33,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124268,"Bristol, United Kingdom",100,100,1.0,1.0,2,1.0,1.0,60,3,31,3.0,3.0,31.0,31.0,3.0,31.0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,1.0,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124274,"Bristol, United Kingdom",100,100,1.0,3.0,5,3.0,3.0,150,2,14,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,0,0,5,5,0,5.0,4.8,4.8,5.0,5.0,4.6,5.0,1,1,0,0,0.48,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124277,"Bristol, United Kingdom",100,100,1.0,1.0,2,1.0,1.0,90,1,5,1.0,1.0,1125.0,1125.0,1.0,1125.0,7,21,38,38,15,15,1,4.93,5.0,4.73,5.0,5.0,4.87,4.8,1,1,0,0,1.33,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124285,"Bristol, United Kingdom",100,100,1.0,1.0,4,3.0,2.0,150,4,120,4.0,4.0,120.0,120.0,4.0,120.0,0,0,0,0,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.2,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124287,"Bristol, United Kingdom",100,97,1.0,1.0,2,1.0,1.0,90,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,7,18,22,22,16,16,0,4.75,4.81,4.88,5.0,5.0,4.75,4.81,1,1,0,0,1.55,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
124288,"Bristol, United Kingdom",100,100,1.0,3.0,2,1.0,1.0,70,1,31,1.0,1.0,31.0,31.0,1.0,31.0,0,0,0,0,20,20,0,4.95,5.0,4.9,5.0,5.0,4.85,4.75,1,0,1,0,1.7,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124291,"Bristol, United Kingdom",100,100,1.0,1.0,4,1.0,2.0,80,2,10,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,1,8,12,13,13,1,4.92,5.0,5.0,5.0,4.92,4.85,4.92,1,1,0,0,1.29,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
